Player,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,,
Cody Martin,26,71,11,26.3,2.9,6,0.482,0.9,2.2,0.384,2,3.7,0.542,0.554,1.1,1.5,0.701,1.2,2.9,4,2.5,1.2,0.5,0.9,1.6,7.7,,
Kyle Anderson,28,69,11,21.5,3,6.8,0.446,0.5,1.6,0.33,2.5,5.2,0.481,0.484,1,1.5,0.638,1,4.3,5.3,2.7,1.1,0.7,1,1.6,7.6,,
Kris Dunn,27,14,3,24,3.1,7.3,0.431,0.1,0.8,0.091,3.1,6.5,0.473,0.436,1.2,1.3,0.944,0.6,2.9,3.5,5.6,1.6,0.2,2.3,2.7,7.6,,
R.J. Hampton,20,64,14,21.9,2.7,7.1,0.383,1,2.9,0.35,1.7,4.3,0.405,0.453,1.2,1.8,0.641,0.4,2.7,3,2.5,0.7,0.2,1.4,1.6,7.6,,
Furkan Korkmaz,24,67,19,21.1,2.7,7,0.387,1.1,4,0.289,1.6,3,0.515,0.469,1,1.3,0.81,0.3,2.3,2.6,1.9,0.5,0.1,0.7,0.9,7.6,,
Markieff Morris,32,17,1,17.5,3.2,6.7,0.474,0.8,2.3,0.333,2.4,4.4,0.547,0.531,0.5,0.5,0.889,1,1.6,2.6,1.4,0.4,0.1,1.2,1.9,7.6,,
Aleksej Pokusevski,20,61,12,20.2,3,7.5,0.408,0.9,3.2,0.289,2.1,4.2,0.498,0.47,0.6,0.8,0.7,1.2,4,5.2,2.1,0.6,0.6,1.5,1.4,7.6,,
P.J. Tucker,36,71,70,27.9,2.9,6,0.484,1.1,2.7,0.415,1.8,3.3,0.54,0.577,0.6,0.9,0.738,1.4,4,5.5,2.1,0.8,0.2,0.9,2.3,7.6,,
Trendon Watford,21,48,10,18.1,3,5.6,0.532,0.2,0.8,0.237,2.8,4.8,0.581,0.549,1.5,2,0.755,1.2,3,4.1,1.7,0.5,0.6,0.9,2.4,7.6,,
Goran Dragić,35,21,8,23.7,2.7,7.2,0.377,0.8,3,0.254,2,4.2,0.466,0.43,1.3,1.6,0.818,0.6,2.5,3.1,4.1,0.9,0.2,1.6,2.1,7.5,,
Goran Dragić,35,5,2,18,2.6,6.8,0.382,0.8,2.8,0.286,1.8,4,0.45,0.441,2,2,1,0.4,2.4,2.8,1.8,1,0.2,0.2,1.6,8,,
Goran Dragić,35,16,6,25.5,2.8,7.3,0.376,0.8,3.1,0.245,2,4.3,0.471,0.427,1.1,1.4,0.739,0.7,2.5,3.2,4.8,0.9,0.2,2.1,2.3,7.3,,
Draymond Green,31,46,44,28.9,2.9,5.6,0.525,0.3,1.2,0.296,2.6,4.4,0.586,0.556,1.3,2,0.659,1,6.3,7.3,7,1.3,1.1,3,3,7.5,,
Raul Neto,29,70,19,19.6,2.9,6.3,0.463,0.5,1.7,0.292,2.4,4.6,0.526,0.502,1.2,1.5,0.769,0.2,1.7,1.9,3.1,0.8,0,1.1,1.5,7.5,,
Jeremiah Robinson-Earl,21,49,36,22.2,2.7,6.6,0.414,1.2,3.4,0.352,1.6,3.2,0.478,0.503,0.8,1.1,0.741,1.5,4.1,5.6,1,0.6,0.3,0.8,1.5,7.5,,
D.J. Wilson,25,4,1,13.5,2.8,3.8,0.733,0,0.5,0,2.8,3.3,0.846,0.733,2,2.5,0.8,0.3,3.8,4,1.3,1.3,0.3,0.5,1.5,7.5,,
Thomas Bryant,24,27,9,16.3,2.9,5.5,0.52,0.4,1.6,0.286,2.4,3.9,0.613,0.561,1.3,1.5,0.875,1,3,4,0.9,0.2,0.8,0.7,1.6,7.4,,
Alex Caruso,27,41,18,28,2.5,6.2,0.398,1,3.1,0.333,1.5,3.2,0.462,0.48,1.4,1.8,0.795,0.8,2.8,3.6,4,1.7,0.4,1.4,2.6,7.4,,
Jared Harper,24,5,0,8.6,2.8,5.2,0.538,1,2.4,0.417,1.8,2.8,0.643,0.635,0.8,0.8,1,0.4,0,0.4,2.8,0.8,0.2,0.4,1,7.4,,
Damion Lee,29,63,5,19.9,2.7,6.1,0.441,1,3,0.337,1.7,3.1,0.541,0.523,1,1.2,0.88,0.4,2.8,3.2,1,0.6,0.1,0.6,1.5,7.4,,
Royce O'Neale,28,77,77,31.2,2.6,5.8,0.457,1.5,4,0.389,1.1,1.8,0.609,0.591,0.6,0.7,0.804,0.8,3.9,4.8,2.5,1.1,0.4,1,2.4,7.4,,
Kenrich Williams,27,49,0,21.9,3,6.5,0.461,0.8,2.5,0.339,2.1,4,0.536,0.525,0.6,1.1,0.545,1.5,3,4.5,2.2,0.9,0.2,0.9,1.7,7.4,,
Jeremy Lamb,29,56,0,16.7,2.4,6.2,0.383,1,3,0.324,1.4,3.2,0.441,0.463,1.6,1.9,0.84,0.5,2.3,2.8,1.4,0.6,0.4,0.7,1.1,7.3,,
Jeremy Lamb,29,39,0,15.7,2.2,5.8,0.373,1,3,0.333,1.2,2.8,0.414,0.458,1.7,2.1,0.838,0.4,2,2.4,1.3,0.6,0.4,0.6,1.1,7.1,,
Jeremy Lamb,29,17,0,18.9,2.8,7,0.403,0.9,3.1,0.302,1.9,3.9,0.485,0.471,1.3,1.5,0.846,0.6,2.9,3.5,1.8,0.5,0.5,0.8,0.9,7.9,,
Wes Iwundu,27,3,1,27.3,2.7,6,0.444,1,1.7,0.6,1.7,4.3,0.385,0.528,1,1.3,0.75,1,3.3,4.3,0,0.3,0,0.3,2.7,7.3,,
Taurean Prince,27,69,8,17.1,2.6,5.7,0.454,1.2,3.3,0.376,1.3,2.3,0.565,0.564,0.9,1.2,0.756,0.4,2.1,2.5,1,0.7,0.3,0.8,1.7,7.3,,
Austin Reaves,23,61,19,23.2,2.4,5.2,0.459,0.9,2.7,0.317,1.5,2.5,0.616,0.542,1.6,1.9,0.839,0.7,2.4,3.2,1.8,0.5,0.3,0.7,1.4,7.3,,
Keon Johnson,19,37,12,18.8,2.6,7.4,0.353,0.9,2.7,0.34,1.7,4.6,0.36,0.415,1.1,1.4,0.804,0.6,1.5,2.2,2.1,0.8,0.3,1.2,1.9,7.2,,
Keon Johnson,19,15,0,9,1.1,3.4,0.333,0.2,0.7,0.273,0.9,2.7,0.35,0.363,1.1,1.4,0.762,0.4,1,1.4,0.9,0.5,0.1,0.5,1.4,3.5,,
Keon Johnson,19,22,12,25.5,3.6,10,0.357,1.4,4,0.348,2.2,6,0.364,0.428,1.1,1.4,0.833,0.8,1.9,2.7,2.9,1,0.5,1.8,2.2,9.7,,
Braxton Key,24,11,0,17.9,3,6.5,0.458,0.5,1.9,0.286,2.5,4.6,0.529,0.5,0.6,1.2,0.538,1.2,3.4,4.5,1,0.9,1,1,2.4,7.2,,
Braxton Key,24,2,0,3,0.5,1,0.5,0,0.5,0,0.5,0.5,1,0.5,0,0,,0.5,0.5,1,0.5,0.5,0,1,0.5,1,,
Braxton Key,24,9,0,21.2,3.6,7.8,0.457,0.7,2.2,0.3,2.9,5.6,0.52,0.5,0.8,1.4,0.538,1.3,4,5.3,1.1,1,1.2,1,2.8,8.6,,
Javonte Green,28,65,45,23.4,2.7,5,0.542,0.6,1.6,0.356,2.2,3.4,0.625,0.597,1.2,1.5,0.833,1.4,2.8,4.2,0.9,1,0.5,0.5,2,7.2,,
Joe Ingles,34,45,15,24.9,2.6,6.3,0.404,1.7,5,0.347,0.8,1.3,0.617,0.54,0.4,0.5,0.773,0.3,2.6,2.9,3.5,0.5,0.1,1,1.8,7.2,,
Ty Jerome,24,48,4,16.7,2.6,6.8,0.378,1.1,3.9,0.29,1.5,3,0.493,0.46,0.8,1,0.809,0.4,1.2,1.6,2.3,0.6,0.1,0.8,1.5,7.1,,
Robin Lopez,33,36,9,17,3.1,5.5,0.553,0.1,0.2,0.333,3,5.4,0.56,0.558,0.9,1.5,0.593,1.9,1.6,3.5,1.5,0.1,0.5,1.2,1.9,7.1,,
Théo Maledon,20,51,7,17.8,2.3,6.2,0.375,0.9,2.9,0.293,1.5,3.3,0.449,0.445,1.5,2,0.79,0.4,2.2,2.6,2.2,0.6,0.2,1.3,1.3,7.1,,
Gary Payton II,29,71,16,17.6,3,4.8,0.616,0.6,1.7,0.358,2.4,3.2,0.754,0.679,0.5,0.8,0.603,1,2.5,3.5,0.9,1.4,0.3,0.6,1.8,7.1,,
Larry Nance Jr.,29,46,11,22.6,2.8,5.4,0.522,0.5,1.5,0.329,2.3,3.8,0.599,0.569,0.9,1.2,0.702,1.6,3.8,5.4,1.8,0.9,0.4,0.8,1.8,7,,
Larry Nance Jr.,29,37,11,23.2,2.8,5.4,0.515,0.5,1.7,0.306,2.2,3.7,0.61,0.563,0.9,1.3,0.653,1.6,4.1,5.6,2,1,0.4,0.7,1.8,6.9,,
Larry Nance Jr.,29,9,0,20.2,3,5.4,0.551,0.4,0.9,0.5,2.6,4.6,0.561,0.592,0.9,0.9,1,1.6,2.8,4.3,0.9,0.6,0.8,1.1,1.9,7.3,,
Goga Bitadze,22,50,16,14.6,2.6,5,0.52,0.5,1.6,0.288,2.2,3.4,0.628,0.565,1.3,1.9,0.681,1.6,2,3.5,1.1,0.4,0.8,0.9,2.1,7,,
Sekou Doumbouya,21,2,0,8,2.5,4,0.625,0.5,1,0.5,2,3,0.667,0.688,1.5,2,0.75,1,2,3,0,1.5,1,1,0.5,7,,
Maxi Kleber,30,59,21,24.6,2.4,6,0.398,1.4,4.3,0.325,1,1.7,0.586,0.516,0.8,1.1,0.708,1.2,4.7,5.9,1.2,0.5,1,0.8,2.3,7,,
Olivier Sarr,22,22,2,19.1,2.6,4.6,0.574,0.6,1.3,0.448,2,3.3,0.625,0.639,1.1,1.3,0.828,1.5,2.7,4.2,0.9,0.3,0.7,1,2.4,7,,
Steven Adams,28,76,75,26.3,2.8,5.1,0.547,0,0,0,2.8,5,0.548,0.547,1.4,2.6,0.543,4.6,5.4,10,3.4,0.9,0.8,1.5,2,6.9,,
Killian Hayes,20,66,40,25,2.7,7,0.383,0.7,2.5,0.263,2,4.4,0.452,0.431,0.9,1.1,0.77,0.5,2.6,3.2,4.2,1.2,0.5,1.7,2.8,6.9,,
Jarred Vanderbilt,22,74,67,25.4,2.9,4.9,0.587,0,0.2,0.143,2.8,4.7,0.605,0.59,1.2,1.8,0.656,2.9,5.5,8.4,1.3,1.3,0.6,1,2.4,6.9,,
Serge Ibaka,32,54,12,16.2,2.7,5.5,0.5,0.7,1.8,0.374,2.1,3.6,0.563,0.563,0.6,0.8,0.727,1.1,3.5,4.6,0.9,0.2,0.6,0.8,1.9,6.8,,
Serge Ibaka,32,35,10,15.4,2.7,5.5,0.49,0.7,1.8,0.387,2,3.7,0.538,0.552,0.6,0.8,0.69,1.1,3.1,4.3,1,0.2,0.7,0.9,1.6,6.6,,
Serge Ibaka,32,19,2,17.8,2.8,5.5,0.519,0.7,1.9,0.351,2.2,3.5,0.612,0.582,0.6,0.8,0.8,1.2,4.1,5.3,0.7,0.2,0.4,0.5,2.4,7,,
Mason Jones,23,4,0,12.8,1.8,3.8,0.467,0.3,1,0.25,1.5,2.8,0.545,0.5,3,3.8,0.8,0.3,2.3,2.5,1,0.5,0,0.3,2,6.8,,
Brandon Boston Jr.,20,51,0,14.9,2.5,6.4,0.385,0.7,2.2,0.306,1.8,4.2,0.425,0.437,1.2,1.4,0.819,0.3,1.8,2.2,1,0.5,0.3,0.6,0.8,6.7,,
Wayne Ellington,34,43,9,18.8,2.3,5.5,0.414,1.9,4.9,0.389,0.4,0.6,0.615,0.586,0.2,0.3,0.818,0.2,1.6,1.8,0.7,0.5,0.1,0.4,1,6.7,,
Stanley Johnson,25,48,27,22.8,2.4,5.2,0.466,0.7,2.2,0.314,1.8,3,0.575,0.532,1.1,1.5,0.716,0.7,2.5,3.2,1.7,0.9,0.3,0.7,2.3,6.7,,
Georgios Kalaitzakis,23,13,4,16.5,2.4,5.2,0.463,0.8,2,0.385,1.6,3.2,0.512,0.537,1.1,2.3,0.467,0.5,1.2,1.6,0.9,0.8,0.2,1.5,1.5,6.6,,
Georgios Kalaitzakis,23,9,0,5.3,0.6,1.2,0.455,0.2,0.4,0.5,0.3,0.8,0.429,0.545,0.4,1,0.444,0.4,0.4,0.9,0,0.1,0.1,0.4,0.9,1.8,,
Georgios Kalaitzakis,23,4,4,41.5,6.5,14,0.464,2,5.5,0.364,4.5,8.5,0.529,0.536,2.5,5.3,0.476,0.5,2.8,3.3,3,2.5,0.3,4,2.8,17.5,,
Torrey Craig,31,78,16,20.5,2.6,5.7,0.454,1,3,0.329,1.6,2.7,0.594,0.541,0.5,0.7,0.75,1.1,2.9,4,1.2,0.6,0.5,0.9,1.9,6.6,,
Torrey Craig,31,51,14,20.3,2.5,5.5,0.456,0.9,2.7,0.333,1.6,2.8,0.573,0.537,0.5,0.7,0.771,1.2,2.7,3.8,1.1,0.5,0.4,0.8,1.9,6.5,,
Torrey Craig,31,27,2,20.8,2.7,5.9,0.45,1.1,3.6,0.323,1.5,2.4,0.641,0.547,0.4,0.6,0.706,1,3.3,4.3,1.2,0.8,0.6,1,2.1,6.9,,
Zeke Nnaji,21,41,1,17,2.3,4.5,0.516,0.9,2,0.463,1.4,2.6,0.557,0.616,1,1.6,0.631,1.4,2.2,3.6,0.4,0.4,0.3,0.6,1.9,6.6,,
B.J. Johnson,26,4,0,16.3,2.8,6.3,0.44,1,2.5,0.4,1.8,3.8,0.467,0.52,0,0,,1.5,2.3,3.8,0,0,0.3,0,1,6.5,,
Mason Plumlee,31,73,73,24.6,2.8,4.4,0.641,0,0,0,2.8,4.4,0.645,0.641,0.9,2.3,0.392,2.4,5.3,7.7,3.1,0.8,0.7,1.4,3.1,6.5,,
Josh Jackson,24,51,3,16.3,2.4,5.9,0.4,0.6,2.5,0.254,1.7,3.3,0.512,0.455,1.1,1.5,0.714,0.4,2.4,2.8,1.1,0.5,0.4,0.9,1.7,6.4,,
Josh Jackson,24,39,3,18.1,2.6,6.4,0.41,0.8,2.9,0.265,1.9,3.5,0.529,0.47,1,1.4,0.714,0.4,2.7,3.2,1.3,0.5,0.5,1,1.8,7.1,,
Josh Jackson,24,12,0,10.3,1.4,4.1,0.347,0.3,1.4,0.176,1.2,2.7,0.438,0.378,1.3,1.8,0.714,0.3,1.2,1.5,0.4,0.4,0.3,0.8,1.4,4.3,,
Justin Anderson,28,16,6,19.8,2.3,5.9,0.379,0.9,3.7,0.254,1.3,2.3,0.583,0.458,0.9,1.2,0.789,0.3,2.6,2.9,2.1,0.5,0.4,0.5,1.4,6.4,,
Justin Anderson,28,3,0,15.7,1.3,2.7,0.5,0.7,2,0.333,0.7,0.7,1,0.625,1,1.3,0.75,0,2,2,2,0.3,0,0.7,1.3,4.3,,
Justin Anderson,28,13,6,20.7,2.5,6.7,0.368,1,4.1,0.245,1.5,2.6,0.559,0.443,0.9,1.2,0.8,0.3,2.8,3.1,2.1,0.5,0.5,0.5,1.4,6.8,,
Avery Bradley,31,62,45,22.7,2.4,5.6,0.423,1.3,3.4,0.39,1.1,2.3,0.471,0.54,0.3,0.3,0.889,0.5,1.7,2.2,0.8,0.9,0.1,0.6,1.9,6.4,,
JaMychal Green,31,67,8,16.2,2.4,4.9,0.486,0.5,1.9,0.266,1.9,3,0.621,0.537,1.2,1.4,0.871,1.2,3,4.2,0.9,0.6,0.4,0.9,2.4,6.4,,
Blake Griffin,32,56,24,17.1,2.4,5.6,0.425,0.7,2.6,0.262,1.7,3,0.565,0.486,1,1.4,0.724,1.1,3,4.1,1.9,0.5,0.3,0.6,1.7,6.4,,
Brandon Knight,30,5,0,13,2,5,0.4,0.8,3.4,0.235,1.2,1.6,0.75,0.48,1.6,1.6,1,0,1.6,1.6,1.6,0.2,0,0.8,1,6.4,,
Isaiah Livers,23,19,5,20.2,2.2,4.7,0.456,1.4,3.4,0.422,0.7,1.4,0.538,0.606,0.6,0.7,0.857,0.8,2.2,3,1.1,0.7,0.4,0.8,1.9,6.4,,
Ish Smith,33,65,1,17.3,2.8,6.6,0.43,0.4,1,0.373,2.5,5.6,0.441,0.459,0.2,0.4,0.625,0.4,1.8,2.2,3.8,0.7,0.4,1.2,1.2,6.3,,
Ish Smith,33,37,1,13.8,2,5,0.395,0.3,0.7,0.4,1.7,4.3,0.394,0.422,0.3,0.5,0.632,0.3,1.2,1.5,2.6,0.5,0.3,1,0.9,4.5,,
Ish Smith,33,28,0,22,4,8.8,0.457,0.5,1.5,0.357,3.5,7.3,0.478,0.488,0.1,0.2,0.6,0.5,2.5,3,5.2,1,0.5,1.5,1.6,8.6,,
Aaron Holiday,25,63,15,16.2,2.4,5.4,0.447,0.6,1.6,0.379,1.8,3.7,0.477,0.504,0.9,1.1,0.868,0.4,1.6,1.9,2.4,0.7,0.1,1.1,1.5,6.3,,
Aaron Holiday,25,41,14,16.2,2.4,5.2,0.467,0.6,1.6,0.343,1.9,3.6,0.524,0.521,0.7,0.9,0.8,0.2,1.4,1.6,1.9,0.6,0.2,1,1.5,6.1,,
Aaron Holiday,25,22,1,16.3,2.3,5.6,0.411,0.7,1.6,0.444,1.6,4,0.398,0.476,1.4,1.5,0.939,0.7,1.8,2.5,3.4,0.8,0,1.3,1.5,6.8,,
Dewayne Dedmon,32,67,15,15.9,2.4,4.3,0.566,0.3,0.7,0.404,2.2,3.6,0.597,0.598,1.1,1.5,0.75,1.6,4.2,5.8,0.7,0.4,0.6,1,2.6,6.3,,
Hassani Gravett,25,8,3,21.4,2.3,4.8,0.474,1.4,3.3,0.423,0.9,1.5,0.583,0.618,0.4,0.5,0.75,0.1,2.5,2.6,2.5,0.6,0.1,1.1,1.6,6.3,,
Derrick Walton,26,3,3,36,2,8.7,0.231,1,4.3,0.231,1,4.3,0.231,0.288,1.3,1.3,1,0.7,2.7,3.3,7,2.3,1.3,3.7,2.7,6.3,,
Lou Williams,35,56,0,14.3,2.2,5.7,0.391,0.7,1.8,0.363,1.6,3.9,0.404,0.448,1.2,1.4,0.859,0.3,1.3,1.6,1.9,0.5,0.1,0.8,0.9,6.3,,
Chaundee Brown Jr.,23,5,2,20.8,2,6.4,0.313,1.2,3.6,0.333,0.8,2.8,0.286,0.406,1,1.2,0.833,0.2,3,3.2,0.8,0.4,0,0.2,1.4,6.2,,
Chaundee Brown Jr.,23,2,0,10.5,0.5,3.5,0.143,0,1.5,0,0.5,2,0.25,0.143,0,0,,0,1,1,0,0,0,0.5,0,1,,
Chaundee Brown Jr.,23,3,2,27.7,3,8.3,0.36,2,5,0.4,1,3.3,0.3,0.48,1.7,2,0.833,0.3,4.3,4.7,1.3,0.7,0,0,2.3,9.7,,
Thaddeus Young,33,52,1,16.3,2.7,5.2,0.518,0.3,0.9,0.354,2.4,4.3,0.554,0.55,0.4,0.9,0.469,1.5,2.5,4,2,1,0.3,1,1.6,6.2,,
Thaddeus Young,33,26,1,14.2,2.8,4.9,0.578,0,0.2,0,2.8,4.7,0.602,0.578,0.4,0.8,0.455,1.5,2,3.6,2.3,0.9,0.3,1.2,1.5,6.1,,
Thaddeus Young,33,26,0,18.3,2.6,5.5,0.465,0.7,1.7,0.395,1.9,3.9,0.495,0.524,0.5,1,0.481,1.5,2.9,4.4,1.7,1.2,0.4,0.8,1.7,6.3,,
George Hill,35,54,17,23.2,2.2,5.1,0.429,0.8,2.5,0.306,1.4,2.6,0.546,0.504,1.1,1.1,0.919,0.7,2.2,2.9,2.2,0.8,0.1,0.8,1.3,6.2,,
Dwight Howard,36,60,27,16.2,2.2,3.7,0.612,0.1,0.3,0.533,2.1,3.4,0.618,0.63,1.6,2.4,0.658,2,4,5.9,0.6,0.6,0.6,0.8,1.9,6.2,,
Vit Krejci,21,30,8,23,2.3,5.6,0.407,1.1,3.3,0.327,1.2,2.3,0.522,0.503,0.6,0.7,0.864,0.6,2.8,3.4,1.9,0.6,0.3,1,2.2,6.2,,
Jalen McDaniels,24,55,2,16.3,2.2,4.6,0.484,0.7,2,0.38,1.5,2.7,0.562,0.565,1,1.3,0.736,0.7,2.4,3.1,1.1,0.5,0.4,0.7,1.7,6.2,,
Payton Pritchard,24,71,2,14.1,2.3,5.3,0.429,1.4,3.5,0.412,0.8,1.8,0.461,0.564,0.3,0.3,1,0.5,1.4,1.9,2,0.4,0.1,0.6,0.9,6.2,,
Day'Ron Sharpe,20,32,8,12.2,2.7,4.7,0.577,0.1,0.2,0.286,2.6,4.4,0.592,0.584,0.8,1.3,0.585,2.5,2.5,5,0.5,0.3,0.5,0.9,1.9,6.2,,
Jose Alvarado,23,54,1,15.4,2.4,5.4,0.446,0.6,2,0.291,1.8,3.4,0.538,0.5,0.7,1,0.679,0.5,1.4,1.9,2.8,1.3,0.1,0.7,1.4,6.1,,
Nemanja Bjelica,33,71,0,16.1,2.3,4.8,0.468,0.8,2.1,0.362,1.5,2.7,0.549,0.547,0.8,1.1,0.728,0.9,3.3,4.1,2.2,0.6,0.4,1.2,1.8,6.1,,
Lamar Stevens,24,63,13,16.1,2.5,5.1,0.489,0.3,1,0.277,2.2,4,0.543,0.517,0.8,1.2,0.707,0.7,1.9,2.6,0.7,0.5,0.3,0.7,1.7,6.1,,
Tristan Thompson,30,57,6,15.7,2.5,4.7,0.528,0,0.1,0.333,2.5,4.6,0.53,0.53,1.1,2,0.526,2.1,2.9,5.1,0.6,0.4,0.4,0.8,1.7,6,,
Tristan Thompson,30,30,3,15.2,2.5,5,0.503,0,0,1,2.5,5,0.5,0.507,1.1,2,0.533,2.4,3,5.4,0.6,0.4,0.4,1,1.7,6.2,,
Tristan Thompson,30,4,0,16.5,3.3,6,0.542,0,0,,3.3,6,0.542,0.542,0.8,2,0.375,1.8,2.8,4.5,0.5,0,0.5,1,1.8,7.3,,
Tristan Thompson,30,23,3,16.3,2.3,4,0.565,0,0.1,0,2.3,3.9,0.578,0.565,1.1,2.1,0.542,1.8,3,4.7,0.6,0.5,0.3,0.5,1.7,5.7,,
Quentin Grimes,21,46,6,17.1,2.1,5.1,0.404,1.6,4.1,0.381,0.5,1,0.5,0.557,0.3,0.4,0.684,0.5,1.5,2,1,0.7,0.2,0.6,1.6,6,,
Tre Jones,22,69,11,16.6,2.4,4.9,0.49,0.1,0.7,0.196,2.3,4.2,0.542,0.504,1,1.3,0.78,0.4,1.8,2.2,3.4,0.6,0.1,0.7,1.1,6,,
Alex Len,28,39,10,15.9,2.4,4.5,0.534,0.2,0.5,0.286,2.3,4,0.568,0.551,1.1,1.6,0.651,1.3,2.8,4.1,1.2,0.3,0.6,1.1,2.6,6,,
Kevon Looney,25,82,80,21.1,2.5,4.4,0.571,0,0,0,2.5,4.4,0.573,0.571,0.9,1.5,0.6,2.5,4.7,7.3,2,0.6,0.6,0.8,2.6,6,,
Austin Rivers,29,67,18,22.1,2.2,5.2,0.417,1.2,3.4,0.342,1,1.8,0.563,0.53,0.5,0.7,0.727,0.3,1.4,1.7,1.3,0.8,0.1,0.8,1.8,6,,
Danuel House Jr.,28,42,7,17.3,1.9,4.7,0.404,1,2.8,0.376,0.9,1.9,0.444,0.515,1,1.4,0.759,0.4,2.2,2.6,1,0.5,0.4,0.8,1.2,5.9,,
Danuel House Jr.,28,16,1,14.6,1.6,4.6,0.338,0.6,2.1,0.294,0.9,2.5,0.375,0.405,1.1,1.2,0.895,0.3,2.4,2.7,1.2,0.3,0.3,1.1,1,4.8,,
